id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
446,88.63476423,22.692822687,88.64476423,22.702822687,13,18,-0.372467213486206,829254.712499694,4.00761491662778,36.7842469012763,-149.191784839914,44.4810426452913
447,88.63476423,22.682822687,88.64476423,22.692822687,14,18,-0.369628899449988,829254.712500213,4.00306693685301,36.7944002303687,-149.195839661856,44.4784764276915
448,88.63476423,22.672822687,88.64476423,22.682822687,15,18,-0.34415525791432,829253.480683374,3.99591057995078,36.8183572807746,-149.193272323843,44.4644467953148
449,88.63476423,22.662822687,88.64476423,22.672822687,16,18,-0.266517152960465,829251.265177476,3.99615529216936,36.8152056309045,-149.180729465362,44.4470942447925
450,88.63476423,22.652822687,88.64476423,22.662822687,17,18,-0.248807658046585,829249.734232798,3.99475387747149,36.8088616274562,-149.171376105666,44.4348301115547
451,88.63476423,22.642822687,88.64476423,22.652822687,18,18,-0.242768097919687,829249.618749986,3.9934396846162,36.8029165423508,-149.172205623647,44.4327833045722
452,88.63476423,22.632822687,88.64476423,22.642822687,19,18,-0.243344410768006,829249.494190335,3.99153882497083,36.8023985443241,-149.173812161388,44.4302156976172
453,88.63476423,22.622822687,88.64476423,22.632822687,20,18,-0.23476572661469,829249.06106974,3.98930163558711,36.8038890511094,-149.172770790777,44.4250782240639
454,88.63476423,22.612822687,88.64476423,22.622822687,21,18,-0.234950872387526,829248.147446136,3.98793386380074,36.8124629714917,-149.167909744253,44.4170474441814
455,88.63476423,22.602822687,88.64476423,22.612822687,22,18,-0.244237437417774,829245.875139188,3.98674418118554,36.8272953235335,-149.154332824198,44.3990798518422
456,88.63476423,22.592822687,88.64476423,22.602822687,23,18,-0.23573787048912,829244.473154805,3.98746356428652,36.8368044952938,-149.147072473319,44.3882310075181
457,88.64476423,22.822822687,88.65476423,22.832822687,0,19,,,,,,
458,88.64476423,22.812822687,88.65476423,22.822822687,1,19,-0.142064611005014,829266.308251863,4.05004015076097,36.6955049746716,-149.217909900794,44.5977626680898
459,88.64476423,22.802822687,88.65476423,22.812822687,2,19,-0.147294769354362,829265.264615523,4.04719314383012,36.7012141539426,-149.210664719432,44.5895815326798
460,88.64476423,22.792822687,88.65476423,22.802822687,3,19,-0.147665848244618,829265.187500047,4.04696858615737,36.7004430674893,-149.210255660136,44.5889256035263
461,88.64476423,22.782822687,88.65476423,22.792822687,4,19,-0.164053019366007,829264.967899838,4.0432428726074,36.7046569721561,-149.211078998701,44.585657941936
462,88.64476423,22.772822687,88.65476423,22.782822687,5,19,-0.174888412212357,829263.634911258,4.04152605223115,36.7192150955841,-149.204680644923,44.5752194462722
463,88.64476423,22.762822687,88.65476423,22.772822687,6,19,-0.24871441109684,829260.810830347,4.03491939260098,36.7431164228857,-149.19466215446,44.5494148309387
464,88.64476423,22.752822687,88.65476423,22.762822687,7,19,-0.255891829704775,829259.97692392,4.02962960233878,36.7525080850373,-149.194871867653,44.5391498837022
465,88.64476423,22.742822687,88.65476423,22.752822687,8,19,-0.26155424962605,829259.925000101,4.02442485919015,36.7682340542489,-149.202448444075,44.5340152637828
466,88.64476423,22.732822687,88.65476423,22.742822687,9,19,-0.270856445501844,829259.30467731,4.02067104656968,36.7843184206521,-149.203339633718,44.5263207029983
467,88.64476423,22.722822687,88.65476423,22.732822687,10,19,-0.276118038920858,829258.228386151,4.02142801167479,36.7869008916968,-149.196466555202,44.5181525009166
468,88.64476423,22.712822687,88.65476423,22.722822687,11,19,-0.303997664388633,829256.289250575,4.02313522085232,36.7856751448764,-149.183667833458,44.5040381416268
469,88.64476423,22.702822687,88.65476423,22.712822687,12,19,-0.346762687424673,829254.765118411,4.02151604933193,36.7812910518933,-149.174193010594,44.4924350463818
470,88.64476423,22.692822687,88.65476423,22.702822687,13,19,-0.35542205085166,829254.712499867,4.01785996339014,36.7893435412178,-149.178987408495,44.4888812553148
471,88.64476423,22.682822687,88.65476423,22.692822687,14,19,-0.349818120503469,829254.712499926,4.01400458451803,36.8103817408743,-149.184764354066,44.4853839080923
472,88.64476423,22.672822687,88.65476423,22.682822687,15,19,-0.340355445026198,829252.866502587,4.00882698231071,36.8248844021581,-149.181144511887,44.4657908655281
473,88.64476423,22.662822687,88.65476423,22.672822687,16,19,-0.269283608027779,829250.866775234,4.00835167029694,36.8218598009593,-149.169396778942,44.4501176172497
474,88.64476423,22.652822687,88.65476423,22.662822687,17,19,-0.251752461142887,829249.710922788,4.00481871911292,36.8225418819013,-149.162603311724,44.4403139264539
475,88.64476423,22.642822687,88.65476423,22.652822687,18,19,-0.245724192287652,829249.618749975,4.0018509545267,36.8236372476793,-149.163892165822,44.4383286215959
476,88.64476423,22.632822687,88.65476423,22.642822687,19,19,-0.24459301958436,829249.326036282,3.99842149546078,36.8301022638212,-149.16451758097,44.4344102665261
477,88.64476423,22.622822687,88.65476423,22.632822687,20,19,-0.236989156175464,829248.908602158,3.99686551315477,36.8338680802718,-149.162738277509,44.430089333463
478,88.64476423,22.612822687,88.65476423,22.622822687,21,19,-0.236763399062284,829247.86639563,3.99440546328316,36.8391036085703,-149.1578806487,44.4205068822062
479,88.64476423,22.602822687,88.65476423,22.612822687,22,19,-0.241840999582303,829245.333155906,3.9939305353459,36.8391073093429,-149.143289993647,44.4007983096868
480,88.64476423,22.592822687,88.65476423,22.602822687,23,19,-0.239329784186106,829244.461632601,3.99371729062761,36.8334855824255,-149.139127659627,44.3933058380259
481,88.65476423,22.822822687,88.66476423,22.832822687,0,20,,,,,,
482,88.65476423,22.812822687,88.66476423,22.822822687,1,20,-0.162208987967638,829266.064803354,4.05873831264774,36.753382879806,-149.206897019499,44.6016707872002
483,88.65476423,22.802822687,88.66476423,22.812822687,2,20,-0.161064715386258,829265.215833984,4.05672949991833,36.7468290869824,-149.20148771985,44.5948668264466
484,88.65476423,22.792822687,88.66476423,22.802822687,3,20,-0.157426556959556,829265.187499822,4.05481741081257,36.7338329422556,-149.203272173434,44.5933836899826
485,88.65476423,22.782822687,88.66476423,22.792822687,4,20,-0.173930371141467,829264.407046343,4.05330470642498,36.7208498489835,-149.199742549947,44.5865200237892
