id,left,top,right,bottom,row_index,col_index,SAMPLE_1
148,88.51476423,22.361631351,88.52476423,22.371631351,3,6,15042.5
149,88.51476423,22.351631351,88.52476423,22.361631351,4,6,15056
150,88.51476423,22.341631351,88.52476423,22.351631351,5,6,15069.5
151,88.51476423,22.331631351,88.52476423,22.341631351,6,6,15078
152,88.51476423,22.321631351,88.52476423,22.331631351,7,6,15080.5
153,88.51476423,22.311631351,88.52476423,22.321631351,8,6,15080.5
154,88.51476423,22.301631351,88.52476423,22.311631351,9,6,15081
155,88.51476423,22.291631351,88.52476423,22.301631351,10,6,15083.5
156,88.51476423,22.281631351,88.52476423,22.291631351,11,6,15067.5
157,88.51476423,22.271631351,88.52476423,22.281631351,12,6,15059
158,88.51476423,22.261631351,88.52476423,22.271631351,13,6,15048.5
159,88.51476423,22.251631351,88.52476423,22.261631351,14,6,15047.5
160,88.51476423,22.241631351,88.52476423,22.251631351,15,6,15051.5
161,88.51476423,22.231631351,88.52476423,22.241631351,16,6,15048.5
162,88.51476423,22.221631351,88.52476423,22.231631351,17,6,15050.5
163,88.51476423,22.211631351,88.52476423,22.221631351,18,6,15051.5
164,88.51476423,22.201631351,88.52476423,22.211631351,19,6,15053.5
165,88.51476423,22.191631351,88.52476423,22.201631351,20,6,15051
166,88.51476423,22.181631351,88.52476423,22.191631351,21,6,15049.5
167,88.51476423,22.171631351,88.52476423,22.181631351,22,6,15036.5
168,88.51476423,22.161631351,88.52476423,22.171631351,23,6,15040.5
169,88.52476423,22.391631351,88.53476423,22.401631351,0,7,
170,88.52476423,22.381631351,88.53476423,22.391631351,1,7,15061
171,88.52476423,22.371631351,88.53476423,22.381631351,2,7,15050.5
172,88.52476423,22.361631351,88.53476423,22.371631351,3,7,15042
173,88.52476423,22.351631351,88.53476423,22.361631351,4,7,15056.5
174,88.52476423,22.341631351,88.53476423,22.351631351,5,7,15061
175,88.52476423,22.331631351,88.53476423,22.341631351,6,7,15067.5
176,88.52476423,22.321631351,88.53476423,22.331631351,7,7,15067.5
177,88.52476423,22.311631351,88.53476423,22.321631351,8,7,15076.5
178,88.52476423,22.301631351,88.53476423,22.311631351,9,7,15075.5
179,88.52476423,22.291631351,88.53476423,22.301631351,10,7,15074
180,88.52476423,22.281631351,88.53476423,22.291631351,11,7,15069
181,88.52476423,22.271631351,88.53476423,22.281631351,12,7,15061
182,88.52476423,22.261631351,88.53476423,22.271631351,13,7,15058.5
183,88.52476423,22.251631351,88.53476423,22.261631351,14,7,15050
184,88.52476423,22.241631351,88.53476423,22.251631351,15,7,15054.5
185,88.52476423,22.231631351,88.53476423,22.241631351,16,7,15051
186,88.52476423,22.221631351,88.53476423,22.231631351,17,7,15054
187,88.52476423,22.211631351,88.53476423,22.221631351,18,7,15052.5
188,88.52476423,22.201631351,88.53476423,22.211631351,19,7,15049
189,88.52476423,22.191631351,88.53476423,22.201631351,20,7,15051.5
190,88.52476423,22.181631351,88.53476423,22.191631351,21,7,15054
191,88.52476423,22.171631351,88.53476423,22.181631351,22,7,15037
192,88.52476423,22.161631351,88.53476423,22.171631351,23,7,15040.5
193,88.53476423,22.391631351,88.54476423,22.401631351,0,8,
194,88.53476423,22.381631351,88.54476423,22.391631351,1,8,15065.5
195,88.53476423,22.371631351,88.54476423,22.381631351,2,8,15057
196,88.53476423,22.361631351,88.54476423,22.371631351,3,8,15050.5
197,88.53476423,22.351631351,88.54476423,22.361631351,4,8,15059
198,88.53476423,22.341631351,88.54476423,22.351631351,5,8,15054
199,88.53476423,22.331631351,88.54476423,22.341631351,6,8,15060.5
