id,left,top,right,bottom,row_index,col_index,1
491,88.147216094000001,22.722822686999997,88.157216094000006,22.732822686999999,10,20,15041.500000000000000
492,88.147216094000001,22.712822686999999,88.157216094000006,22.722822687000001,11,20,15055.000000000000000
493,88.147216094000001,22.702822686999998,88.157216094000006,22.712822686999999,12,20,15046.000000000000000
494,88.147216094000001,22.692822687000000,88.157216094000006,22.702822687000001,13,20,15050.500000000000000
495,88.147216094000001,22.682822687000002,88.157216094000006,22.692822687000000,14,20,15044.000000000000000
496,88.147216094000001,22.672822687000000,88.157216094000006,22.682822687000002,15,20,15046.500000000000000
497,88.147216094000001,22.662822686999998,88.157216094000006,22.672822687000000,16,20,15042.500000000000000
498,88.147216094000001,22.652822686999997,88.157216094000006,22.662822686999998,17,20,15059.000000000000000
499,88.147216094000001,22.642822686999999,88.157216094000006,22.652822687000000,18,20,15040.000000000000000
500,88.147216094000001,22.632822686999997,88.157216094000006,22.642822686999999,19,20,15029.000000000000000
501,88.147216094000001,22.622822686999999,88.157216094000006,22.632822687000001,20,20,15025.500000000000000
502,88.147216094000001,22.612822686999998,88.157216094000006,22.622822686999999,21,20,15016.000000000000000
503,88.147216094000001,22.602822687000000,88.157216094000006,22.612822687000001,22,20,15007.500000000000000
504,88.147216094000001,22.592822687000002,88.157216094000006,22.602822687000000,23,20,15039.000000000000000
505,88.157216093999978,22.822822686999999,88.167216093999997,22.832822687000000,0,21,
506,88.157216093999978,22.812822686999997,88.167216093999997,22.822822686999999,1,21,15042.000000000000000
507,88.157216093999978,22.802822686999999,88.167216093999997,22.812822687000001,2,21,15033.500000000000000
508,88.157216093999978,22.792822686999997,88.167216093999997,22.802822686999999,3,21,15042.000000000000000
509,88.157216093999978,22.782822686999999,88.167216093999997,22.792822687000001,4,21,15052.000000000000000
510,88.157216093999978,22.772822686999994,88.167216093999997,22.782822686999999,5,21,15052.500000000000000
511,88.157216093999978,22.762822687000000,88.167216093999997,22.772822687000001,6,21,15058.000000000000000
512,88.157216093999978,22.752822686999998,88.167216093999997,22.762822687000000,7,21,15041.500000000000000
513,88.157216093999978,22.742822687000000,88.167216093999997,22.752822686999998,8,21,15045.000000000000000
514,88.157216093999978,22.732822686999999,88.167216093999997,22.742822687000000,9,21,15046.500000000000000
515,88.157216093999978,22.722822686999997,88.167216093999997,22.732822686999999,10,21,15042.000000000000000
516,88.157216093999978,22.712822686999999,88.167216093999997,22.722822687000001,11,21,15045.500000000000000
517,88.157216093999978,22.702822686999998,88.167216093999997,22.712822686999999,12,21,15046.500000000000000
518,88.157216093999978,22.692822687000000,88.167216093999997,22.702822687000001,13,21,15047.500000000000000
519,88.157216093999978,22.682822687000002,88.167216093999997,22.692822687000000,14,21,15044.500000000000000
520,88.157216093999978,22.672822687000000,88.167216093999997,22.682822687000002,15,21,15014.000000000000000
521,88.157216093999978,22.662822686999998,88.167216093999997,22.672822687000000,16,21,15037.500000000000000
522,88.157216093999978,22.652822686999997,88.167216093999997,22.662822686999998,17,21,15054.000000000000000
523,88.157216093999978,22.642822686999999,88.167216093999997,22.652822687000000,18,21,15036.500000000000000
524,88.157216093999978,22.632822686999997,88.167216093999997,22.642822686999999,19,21,15028.500000000000000
525,88.157216093999978,22.622822686999999,88.167216093999997,22.632822687000001,20,21,15041.000000000000000
526,88.157216093999978,22.612822686999998,88.167216093999997,22.622822686999999,21,21,15051.500000000000000
527,88.157216093999978,22.602822687000000,88.167216093999997,22.612822687000001,22,21,15031.000000000000000
528,88.157216093999978,22.592822687000002,88.167216093999997,22.602822687000000,23,21,15043.000000000000000
529,88.167216093999997,22.822822686999999,88.177216094000002,22.832822687000000,0,22,
530,88.167216093999997,22.812822686999997,88.177216094000002,22.822822686999999,1,22,15045.000000000000000
531,88.167216093999997,22.802822686999999,88.177216094000002,22.812822687000001,2,22,15036.000000000000000
532,88.167216093999997,22.792822686999997,88.177216094000002,22.802822686999999,3,22,15041.000000000000000
533,88.167216093999997,22.782822686999999,88.177216094000002,22.792822687000001,4,22,15045.000000000000000
534,88.167216093999997,22.772822686999994,88.177216094000002,22.782822686999999,5,22,15057.000000000000000
535,88.167216093999997,22.762822687000000,88.177216094000002,22.772822687000001,6,22,15063.000000000000000
536,88.167216093999997,22.752822686999998,88.177216094000002,22.762822687000000,7,22,15040.000000000000000
537,88.167216093999997,22.742822687000000,88.177216094000002,22.752822686999998,8,22,15052.000000000000000
538,88.167216093999997,22.732822686999999,88.177216094000002,22.742822687000000,9,22,15050.500000000000000
539,88.167216093999997,22.722822686999997,88.177216094000002,22.732822686999999,10,22,15048.500000000000000
540,88.167216093999997,22.712822686999999,88.177216094000002,22.722822687000001,11,22,15038.500000000000000
541,88.167216093999997,22.702822686999998,88.177216094000002,22.712822686999999,12,22,15043.500000000000000
542,88.167216093999997,22.692822687000000,88.177216094000002,22.702822687000001,13,22,15041.000000000000000
